	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
2962	Salamanders might be found under garden statues 	Salamanders might be found under spaceships 	Salamanders might be found under business suits 	Salamanders might be found under love	A	 garden statues 	 spaceships 	 business suits 	 love
2963	Rabbits are herbivores, meaning they only eat metal 	Rabbits are herbivores, meaning they only eat people 	Rabbits are herbivores, meaning they only consume vegetation 	Rabbits are herbivores, meaning they only eat dinosaurs	C	 eat metal 	 eat people 	 consume vegetation 	 eat dinosaurs
2964	which is most likely to be eaten by a rabbit trout 	which is most likely to be eaten by a rabbit dandelions 	which is most likely to be eaten by a rabbit field mice 	which is most likely to be eaten by a rabbit spiders	B	 trout 	 dandelions 	 field mice 	 spiders
2965	This is likely magnetic: the innards of a cow 	This is likely magnetic: the innards of an iPhone 	This is likely magnetic: the innards of a head 	This is likely magnetic: the innards of a tree	B	 the innards of a cow 	 the innards of an iPhone 	 the innards of a head 	 the innards of a tree
2966	Asking a blind person to look at something is rude because they are unable to speak 	Asking a blind person to look at something is rude because they are unable to eat 	Asking a blind person to look at something is rude because they are unable to see 	Asking a blind person to look at something is rude because they are unable to live	C	 unable to speak 	 unable to eat 	 unable to see 	 unable to live
2967	Glasses help you fry ants 	Glasses help you pay for crimes 	Glasses help you remedy eyesight issues 	Glasses help you observe Uranus	C	 fry ants 	 pay for crimes 	 remedy eyesight issues 	 observe Uranus
2968	The greater of number of inhabited buildings in a space the brighter the stars 	The greater of number of inhabited buildings in a space the fewer visible stars 	The greater of number of inhabited buildings in a space the more boring the stars 	The greater of number of inhabited buildings in a space the more stars in the sky	B	 the brighter the stars 	 the fewer visible stars 	 the more boring the stars 	 the more stars in the sky
2969	Our only star provides us with energy that is temporary 	Our only star provides us with energy that is inferior 	Our only star provides us with energy that is expensive 	Our only star provides us with energy that is reusable	D	 temporary 	 inferior 	 expensive 	 reusable
2970	Plants would be unable to stand if they lacked multiple leaves supported on its torso 	Plants would be unable to stand if they lacked gel that form shapes 	Plants would be unable to stand if they lacked the ability to flower nightly 	Plants would be unable to stand if they lacked tiny structures inside the support	D	 multiple leaves supported on its torso 	 gel that form shapes 	 the ability to flower nightly 	 tiny structures inside the support
2971	Sycamores have the worlds largest trunk 	Sycamores have the worlds largest friends 	Sycamores have the worlds largest leaves 	Sycamores have the worlds largest location	A	 trunk 	 friends 	 leaves 	 location
2972	A cousin to the mole survives on plants 	A cousin to the mole survives on rocks 	A cousin to the mole survives on rats 	A cousin to the mole survives on rabbits	A	 plants 	 rocks 	 rats 	 rabbits
2973	If a species of plant or animal ceases to exist on earth, either by natural causes or by activities of humans, the loss of the plant or animal reversible extinction 	If a species of plant or animal ceases to exist on earth, either by natural causes or by activities of humans, the loss of the plant or animal cannot be undone 	If a species of plant or animal ceases to exist on earth, either by natural causes or by activities of humans, the loss of the plant or animal reversible 	If a species of plant or animal ceases to exist on earth, either by natural causes or by activities of humans, the loss of the plant or animal a subspecies	B	 reversible extinction 	 cannot be undone 	 reversible 	 a subspecies
2974	red hornets can sting you multiple times with their poison sack 	red hornets can sting you multiple times with their knife 	red hornets can sting you multiple times with their spears 	red hornets can sting you multiple times with their rears	D	 poison sack 	 knife 	 spears 	 rears
2975	When droplets freeze as they assail from high above they become hurricane 	When droplets freeze as they assail from high above they become sleet 	When droplets freeze as they assail from high above they become tornadoes 	When droplets freeze as they assail from high above they become drizzle	B	 hurricane 	 sleet 	 tornadoes 	 drizzle
2976	Marshmallows plus ____ technically make a different substance. steak 	Marshmallows plus ____ technically make a different substance. cookies 	Marshmallows plus ____ technically make a different substance. chocolate 	Marshmallows plus ____ technically make a different substance. fire	D	 steak 	 cookies 	 chocolate 	 fire
2977	You are unable to naturally make yourself taller because height is determined by parents 	You are unable to naturally make yourself taller because height is determined by Cookies 	You are unable to naturally make yourself taller because height is determined by Space 	You are unable to naturally make yourself taller because height is determined by Eggshells	A	 parents 	 Cookies 	 Space 	 Eggshells
2978	There is a growing movement to harness the power of wind in order to power rangers 	There is a growing movement to harness the power of wind in order to nothing 	There is a growing movement to harness the power of wind in order to heat our homes 	There is a growing movement to harness the power of wind in order to eat cookies	C	 power rangers 	 nothing 	 heat our homes 	 eat cookies
2979	Older plants will most-likely have more leaves than when they were babies 	Older plants will most-likely have more leaves than when Seventeen 	Older plants will most-likely have more leaves than when Hot dogs 	Older plants will most-likely have more leaves than when botany	A	 they were babies 	 Seventeen 	 Hot dogs 	 botany
2980	A yellow dwarf is an origin of cold 	A yellow dwarf is an origin of sound 	A yellow dwarf is an origin of life 	A yellow dwarf is an origin of heat	D	 cold 	 sound 	 life 	 heat
2981	Landfills can cause noise pollution 	Landfills can cause overpopulation 	Landfills can cause overgrowth of grass 	Landfills can cause bad odors	D	 noise pollution 	 overpopulation 	 overgrowth of grass 	 bad odors
2982	A  cast iron stove uses what as fuel lasers 	A  cast iron stove uses what as fuel timber 	A  cast iron stove uses what as fuel light 	A  cast iron stove uses what as fuel sound	B	 lasers 	 timber 	 light 	 sound
2983	Ligers are less likely to thrive when there is massive antelope herds 	Ligers are less likely to thrive when there is famine 	Ligers are less likely to thrive when there is abundant food 	Ligers are less likely to thrive when there is readily available prey	B	 massive antelope herds 	 famine 	 abundant food 	 readily available prey
2984	All of the following contain chloroplasts but this rose bushes 	All of the following contain chloroplasts but this sea anemones 	All of the following contain chloroplasts but this seaweed 	All of the following contain chloroplasts but this algae	B	 rose bushes 	 sea anemones 	 seaweed 	 algae
2985	A squirrel likely stores food for the summer 	A squirrel likely stores food for upcoming harsh conditions 	A squirrel likely has little need to store food 	A squirrel likely stores food for the spring	B	 stores food for the summer 	 stores food for upcoming harsh conditions 	 has little need to store food 	 stores food for the spring
2986	Herbivores need to stock up on food before winter because plants will burn 	Herbivores need to stock up on food before winter because plants will fly 	Herbivores need to stock up on food before winter because plants will perish 	Herbivores need to stock up on food before winter because Plants will cry	C	 plants will burn 	 plants will fly 	 plants will perish 	 Plants will cry
2987	Metamorphosis is complete at adulthood 	Metamorphosis is complete at embryo 	Metamorphosis is complete at hatching egg 	Metamorphosis is complete at larva	A	 adulthood 	 embryo 	 hatching egg 	 larva
2988	Parents genes will determine the rabbits mate 	Parents genes will determine the rabbits food preferences 	Parents genes will determine the rabbits fur color 	Parents genes will determine the rabbits habitat location	C	 mate 	 food preferences 	 fur color 	 habitat location
2989	A baby bear has golden fur which is medium length. The reason for this is most likely gene contributors shared that characteristic 	A baby bear has golden fur which is medium length. The reason for this is most likely its parents are polar bears 	A baby bear has golden fur which is medium length. The reason for this is most likely mother bear has blue eyes 	A baby bear has golden fur which is medium length. The reason for this is most likely parents all have black fur	A	 gene contributors shared that characteristic 	 its parents are polar bears 	 mother bear has blue eyes 	 parents all have black fur
2990	What's above the muscles and needs direct sunlight your hide 	What's above the muscles and needs direct sunlight the heart 	What's above the muscles and needs direct sunlight the pancreas 	What's above the muscles and needs direct sunlight the liver	A	 your hide 	 the heart 	 the pancreas 	 the liver
2991	Bluebirds are found in vast green fields 	Bluebirds are found in glaciers 	Bluebirds are found in volcanic craters 	Bluebirds are found in ocean waves	A	 vast green fields 	 glaciers 	 volcanic craters 	 ocean waves
2992	More sunlight will be absorbed by a daffodil with curled leaves 	More sunlight will be absorbed by a rose with tiny leaves 	More sunlight will be absorbed by a peony with wide, smooth leaves 	More sunlight will be absorbed by a daisy with thin, short leaves	C	 a daffodil with curled leaves 	 a rose with tiny leaves 	 a peony with wide, smooth leaves 	 a daisy with thin, short leaves
2993	Jenny was outside facing her house holding a compass. The needle of the compass was facing her house. Staying in one place she turned around and around, stopping several times. She noticed that whichever way she faced the compass's needle was facing straight ahead 	Jenny was outside facing her house holding a compass. The needle of the compass was facing her house. Staying in one place she turned around and around, stopping several times. She noticed that whichever way she faced the compass's needle was facing the house 	Jenny was outside facing her house holding a compass. The needle of the compass was facing her house. Staying in one place she turned around and around, stopping several times. She noticed that whichever way she faced the compass's needle was facing her back 	Jenny was outside facing her house holding a compass. The needle of the compass was facing her house. Staying in one place she turned around and around, stopping several times. She noticed that whichever way she faced the compass's needle was facing the west	B	 the compass's needle was facing straight ahead 	 the compass's needle was facing the house 	 the compass's needle was facing her back 	 the compass's needle was facing the west
2994	An example of an electric insulator could be magic 	An example of an electric insulator could be orange juice 	An example of an electric insulator could be tupperware 	An example of an electric insulator could be milk	C	 magic 	 orange juice 	 tupperware 	 milk
2995	An herbivore will eat a little meat daily 	An herbivore will never eat any plants 	An herbivore will eat meat now and then 	An herbivore will only eat things that grow out of the ground	D	 eat a little meat daily 	 never eat any plants 	 eat meat now and then 	 only eat things that grow out of the ground
2996	An inherited characteristic from my dad is nasal structure 	An inherited characteristic from my dad is a building 	An inherited characteristic from my dad is the bike 	An inherited characteristic from my dad is the cat	A	 nasal structure 	 a building 	 the bike 	 the cat
2997	Children are more likely to get smallpox if their parents base their medical decisions on advice from has-been adult entertainers 	Children are more likely to get smallpox if they undergo vaccination at an early age 	Children are more likely to get smallpox if they're vaccinated when they're young 	Children are more likely to get smallpox if their parents understand basic science	A	 their parents base their medical decisions on advice from has-been adult entertainers 	 they undergo vaccination at an early age 	 they're vaccinated when they're young 	 their parents understand basic science
2998	In the 60's people watched on TV while for the first time people walked on a high rooftop in a major city 	In the 60's people watched on TV while for the first time people walked on a satellite without much air in our solar system 	In the 60's people watched on TV while for the first time people walked on the edge of a cliff in the mountains 	In the 60's people watched on TV while for the first time people walked on a beach in Brazil	B	 a high rooftop in a major city 	 a satellite without much air in our solar system 	 the edge of a cliff in the mountains 	 a beach in Brazil
2999	A person in a suit near a sunken ship is sprayed in the face with a dark substance by a cephalopod 	A person in a suit near a sunken ship is sprayed in the face with a dark substance by a bear 	A person in a suit near a sunken ship is sprayed in the face with a dark substance by a hose 	A person in a suit near a sunken ship is sprayed in the face with a dark substance by a pencil	A	 a cephalopod 	 a bear 	 a hose 	 a pencil
3000	Octopuses excrete an ink as defense when They're in danger 	Octopuses excrete an ink as defense when they are flying 	Octopuses excrete an ink as defense when cooking 	Octopuses excrete an ink as defense when never	A	 They're in danger 	 they are flying 	 cooking 	 never
3001	Gravity lessens as you go alongside a friendly black hole 	Gravity lessens as you go away from a planet 	Gravity lessens as you go closer to a planet 	Gravity lessens as you go closer to the sun	B	 alongside a friendly black hole 	 away from a planet 	 closer to a planet 	 closer to the sun
3002	A creature lives in a portion of forested area, and only is able to live in that area. A group of bipeds begin to make their own homes in that space. The creature which originally lived there is most likely to share their space 	A creature lives in a portion of forested area, and only is able to live in that area. A group of bipeds begin to make their own homes in that space. The creature which originally lived there is most likely to sell that space 	A creature lives in a portion of forested area, and only is able to live in that area. A group of bipeds begin to make their own homes in that space. The creature which originally lived there is most likely to lose their space 	A creature lives in a portion of forested area, and only is able to live in that area. A group of bipeds begin to make their own homes in that space. The creature which originally lived there is most likely to fight for space	C	 share their space 	 sell that space 	 lose their space 	 fight for space
3003	Jim was looking straight at his neighbor's bright Christmas display but it looked very dim to him. That's because Jim was wide awake 	Jim was looking straight at his neighbor's bright Christmas display but it looked very dim to him. That's because Jim was a mile away 	Jim was looking straight at his neighbor's bright Christmas display but it looked very dim to him. That's because Jim was a few feet away 	Jim was looking straight at his neighbor's bright Christmas display but it looked very dim to him. That's because The lights were of different colors	B	 Jim was wide awake 	 Jim was a mile away 	 Jim was a few feet away 	 The lights were of different colors
3004	If a load of deer are moved to a small park, and they are repeatedly sprayed with pesticides, the deer thrive in that environment 	If a load of deer are moved to a small park, and they are repeatedly sprayed with pesticides, the deer are healthy and happy 	If a load of deer are moved to a small park, and they are repeatedly sprayed with pesticides, the deer are given happy lives 	If a load of deer are moved to a small park, and they are repeatedly sprayed with pesticides, the park will eventually be deerless	D	 deer thrive in that environment 	 deer are healthy and happy 	 deer are given happy lives 	 park will eventually be deerless
3005	A creature is able to receive nutriment throughout their limbs due to arteries 	A creature is able to receive nutriment throughout their limbs due to jeans 	A creature is able to receive nutriment throughout their limbs due to oranges 	A creature is able to receive nutriment throughout their limbs due to arms	A	 arteries 	 jeans 	 oranges 	 arms
3006	A rabbit receives his essential elements from his boat 	A rabbit receives his essential elements from his stock brokers 	A rabbit receives his essential elements from his subway 	A rabbit receives his essential elements from his circulation system	D	 boat 	 stock brokers 	 subway 	 circulation system
3007	This likely relies on a circuit being closed your iPhone charger 	This likely relies on a circuit being closed your hair brush 	This likely relies on a circuit being closed your hat 	This likely relies on a circuit being closed your shoes	A	 your iPhone charger 	 your hair brush 	 your hat 	 your shoes
3008	to determine how firm a certain mineral may be a person can: measure the weight of it 	to determine how firm a certain mineral may be a person can: attempt to leave a mark on it 	to determine how firm a certain mineral may be a person can: crush it to see the inside 	to determine how firm a certain mineral may be a person can: see if it can bounce	B	 measure the weight of it 	 attempt to leave a mark on it 	 crush it to see the inside 	 see if it can bounce
3009	You can etch the surface of a windshield with a sponge 	You can etch the surface of a windshield with feathers 	You can etch the surface of a windshield with soft cloth 	You can etch the surface of a windshield with jasper	D	 a sponge 	 feathers 	 soft cloth 	 jasper
3010	Rocks are most likely to kill you while hiking a mountain 	Rocks are most likely to kill you while in a pool 	Rocks are most likely to kill you while at a concert 	Rocks are most likely to kill you while in a cornfield	A	 hiking a mountain 	 in a pool 	 at a concert 	 in a cornfield
3011	This would be associated with a lack of sunlight: a wide sandy desert 	This would be associated with a lack of sunlight: carbonic acid in groundwater 	This would be associated with a lack of sunlight: a tropical beach scene 	This would be associated with a lack of sunlight: a rice plantation in the North	B	 a wide sandy desert 	 carbonic acid in groundwater 	 a tropical beach scene 	 a rice plantation in the North
3012	If a large boulder is kept in direct sunlight it can become powerful 	If a large boulder is kept in direct sunlight it can grow larger 	If a large boulder is kept in direct sunlight it can gain chill 	If a large boulder is kept in direct sunlight it can lose portions	D	 become powerful 	 grow larger 	 gain chill 	 lose portions
3013	Caribbean natives have a dark skin tone do to unicorns 	Caribbean natives have a dark skin tone do to solar radiation 	Caribbean natives have a dark skin tone do to lack of nutrients 	Caribbean natives have a dark skin tone do to camouflage	B	 unicorns 	 solar radiation 	 lack of nutrients 	 camouflage
3014	A flashlight can be used to create warmness 	A flashlight can be used to become a firefly 	A flashlight can be used to travel to space 	A flashlight can be used to harvest magic	A	 create warmness 	 become a firefly 	 travel to space 	 harvest magic
3015	A thermometer would be used to determine if it is airier 	A thermometer would be used to determine if it is windy 	A thermometer would be used to determine the high tide 	A thermometer would be used to determine if it is hotter in the desert	D	 determine if it is airier 	 determine if it is windy 	 determine the high tide 	 determine if it is hotter in the desert
3016	Ducks might their webbed appendages to season pizza 	Ducks might their webbed appendages to navigate 	Ducks might their webbed appendages to sing 	Ducks might their webbed appendages to do ballet	B	 season pizza 	 navigate 	 sing 	 do ballet
3017	If an environment experiences a long drought animals will experience a boom in reproduction 	If an environment experiences a long drought ponds may dry up and kill off the fish population 	If an environment experiences a long drought tadpoles will mature faster into frogs 	If an environment experiences a long drought plants will continue to flourish	B	 animals will experience a boom in reproduction 	 ponds may dry up and kill off the fish population 	 tadpoles will mature faster into frogs 	 plants will continue to flourish
3018	In order for a crane to operate properly it requires sand 	In order for a crane to operate properly it requires the wind 	In order for a crane to operate properly it requires solar power 	In order for a crane to operate properly it requires a fulcrum	D	 sand 	 the wind 	 solar power 	 a fulcrum
3019	If a thing is going between liquid and solid, it is likely to visit a school 	If a thing is going between liquid and solid, it is likely to be a door 	If a thing is going between liquid and solid, it is likely to become less heavy 	If a thing is going between liquid and solid, it is likely to measure consistently	D	 visit a school 	 be a door 	 become less heavy 	 measure consistently
3020	If an ice cube that weighs 2 ounces melts, in liquid form, it will fly away 	If an ice cube that weighs 2 ounces melts, in liquid form, it will be 11 ounces 	If an ice cube that weighs 2 ounces melts, in liquid form, it will 8 ounces 	If an ice cube that weighs 2 ounces melts, in liquid form, it will weigh the same	D	 fly away 	 be 11 ounces 	 8 ounces 	 weigh the same
3021	A koala's home can be destroyed because of affection 	A koala's home can be destroyed because of magic 	A koala's home can be destroyed because of my heart 	A koala's home can be destroyed because of exploding hot liquid	D	 affection 	 magic 	 my heart 	 exploding hot liquid
3022	If a bright thing in the sky that is something other than our Sun does something in just under a month, it is likely the stars rising 	If a bright thing in the sky that is something other than our Sun does something in just under a month, it is likely the Sun burning 	If a bright thing in the sky that is something other than our Sun does something in just under a month, it is likely the air dying 	If a bright thing in the sky that is something other than our Sun does something in just under a month, it is likely luna cycling	D	 the stars rising 	 the Sun burning 	 the air dying 	 luna cycling
3023	When fish travel in the opposite direction of flow they are going to spawn 	When fish travel in the opposite direction of flow they are going to party 	When fish travel in the opposite direction of flow they are going to site see 	When fish travel in the opposite direction of flow they are going to start over	A	 spawn 	 party 	 site see 	 start over
3024	The more bees a dandelion entices the more it gets written about 	The more bees a dandelion entices the more it succeeds in reproducing 	The more bees a dandelion entices the more it becomes a rose 	The more bees a dandelion entices the more it becomes wine	B	 gets written about 	 succeeds in reproducing 	 becomes a rose 	 becomes wine
3025	Listeria can make you into raw meat 	Listeria can make you tread water 	Listeria can make you aroused 	Listeria can make you feverish	D	 into raw meat 	 tread water 	 aroused 	 feverish
3026	You can make an untraceable bullet with metal 	You can make an untraceable bullet with alloys 	You can make an untraceable bullet with lead 	You can make an untraceable bullet with frozen water	D	 metal 	 alloys 	 lead 	 frozen water
3027	If standing on sparking wires, you feel nothing because you have sneakers on 	If standing on sparking wires, you feel nothing because you are simply immune 	If standing on sparking wires, you feel nothing because you have a hard hat on 	If standing on sparking wires, you feel nothing because you have pants on	A	 you have sneakers on 	 you are simply immune 	 you have a hard hat on 	 you have pants on
3028	Depending on the type of bird, it could have different what when compared to another bird restaurant 	Depending on the type of bird, it could have different what when compared to another bird nothing 	Depending on the type of bird, it could have different what when compared to another bird space 	Depending on the type of bird, it could have different what when compared to another bird sustenance preferences	D	 restaurant 	 nothing 	 space 	 sustenance preferences
3029	A load of nutriment, when consumed, will be tilled in the soil 	A load of nutriment, when consumed, will be burned in a fire 	A load of nutriment, when consumed, will be utilized internally by something 	A load of nutriment, when consumed, will be made into golden wheat	C	 tilled in the soil 	 burned in a fire 	 utilized internally by something 	 made into golden wheat
3030	Lucy left a pan half full of water in the sun and it dried up in one afternoon. the pan was in the cool shade 	Lucy left a pan half full of water in the sun and it dried up in one afternoon. a squirrel dumped the water of its head to cool off 	Lucy left a pan half full of water in the sun and it dried up in one afternoon. butterflies drank it all 	Lucy left a pan half full of water in the sun and it dried up in one afternoon. it was the summertime	D	 the pan was in the cool shade 	 a squirrel dumped the water of its head to cool off 	 butterflies drank it all 	 it was the summertime
3031	A chemical reaction can be caused by pouring soda into milk 	A chemical reaction can be caused by putting vinegar in a bowl 	A chemical reaction can be caused by bleach vinegar combo solution 	A chemical reaction can be caused by pouring baking soda out of a box	C	 pouring soda into milk 	 putting vinegar in a bowl 	 bleach vinegar combo solution 	 pouring baking soda out of a box
3032	Controlled burns help prevent wildfires by cleaning up dead foliage 	Controlled burns help prevent wildfires by cleaning up animal droppings 	Controlled burns help prevent wildfires by cleaning up wasp nests 	Controlled burns help prevent wildfires by cleaning up air pollution	A	 dead foliage 	 animal droppings 	 wasp nests 	 air pollution
3033	To calculate distance divided by time you would need a multi-meter 	To calculate distance divided by time you would need a speedometer 	To calculate distance divided by time you would need a Geiger counter 	To calculate distance divided by time you would need a seismograph	B	 multi-meter 	 speedometer 	 Geiger counter 	 seismograph
3034	Thicker layers of skin would best suit a bird 	Thicker layers of skin would best suit a scorpion 	Thicker layers of skin would best suit a lizard 	Thicker layers of skin would best suit a leopard seal	D	 a bird 	 a scorpion 	 a lizard 	 a leopard seal
3035	Some birds have adapted to their cold environment by over time evolving to have thicker feathers in order to go to space 	Some birds have adapted to their cold environment by over time evolving to have thicker feathers in order to avoid freezing 	Some birds have adapted to their cold environment by over time evolving to have thicker feathers in order to eat dinosaurs 	Some birds have adapted to their cold environment by over time evolving to have thicker feathers in order to nothing	B	 go to space 	 avoid freezing 	 eat dinosaurs 	 nothing
3036	Amoebas have zero options and must preform zero duties 	Amoebas have zero options and must preform most duties 	Amoebas have zero options and must preform all responsibilities 	Amoebas have zero options and must preform some duties	C	 zero duties 	 most duties 	 all responsibilities 	 some duties
3037	If one is hitting ebony and ivory and making sound that is a kitchen utensil 	If one is hitting ebony and ivory and making sound that is an instrument of pain 	If one is hitting ebony and ivory and making sound that is a scientific instrument 	If one is hitting ebony and ivory and making sound that is playing Chop sticks	D	 that is a kitchen utensil 	 that is an instrument of pain 	 that is a scientific instrument 	 that is playing Chop sticks
3038	a flood is occurring there was most likely light hail 	a flood is occurring there was most likely clear skies 	a flood is occurring there was most likely some leaves 	a flood is occurring there was most likely great drops repeating	D	 light hail 	 clear skies 	 some leaves 	 great drops repeating
3039	More dirt and sand gets deposited in a flat area near a river whenever the river is hit with an extremely large amount of precipitation in a day 	More dirt and sand gets deposited in a flat area near a river whenever a deer is hunted on the river bank 	More dirt and sand gets deposited in a flat area near a river whenever birds fly over the area 	More dirt and sand gets deposited in a flat area near a river whenever a helicopter flies too low over the land	A	 the river is hit with an extremely large amount of precipitation in a day 	 a deer is hunted on the river bank 	 birds fly over the area 	 a helicopter flies too low over the land
3040	If the part of a tree that contains chloroplasts has flatter surfaces they have more vibrant colors 	If the part of a tree that contains chloroplasts has flatter surfaces they have more absorbing mass 	If the part of a tree that contains chloroplasts has flatter surfaces they have more life 	If the part of a tree that contains chloroplasts has flatter surfaces they have more friends	B	 vibrant colors 	 absorbing mass 	 life 	 friends
3041	If an scientist is stationed in the south pole during their winter, what season is it in the arctic region Fall 	If an scientist is stationed in the south pole during their winter, what season is it in the arctic region Winter 	If an scientist is stationed in the south pole during their winter, what season is it in the arctic region Summer 	If an scientist is stationed in the south pole during their winter, what season is it in the arctic region Spring	C	 Fall 	 Winter 	 Summer 	 Spring
3042	Bees are key to a flowers procreation 	Bees are key to a flowers water supply 	Bees are key to a flowers sun intake 	Bees are key to a flowers color	A	 procreation 	 water supply 	 sun intake 	 color
3043	A thing which has great physical capacity is most likely hardly healthy 	A thing which has great physical capacity is most likely in poor health 	A thing which has great physical capacity is most likely in fantastic health 	A thing which has great physical capacity is most likely rarely healthy	C	 hardly healthy 	 in poor health 	 in fantastic health 	 rarely healthy
3044	Bears will always have longer life cycles than a tortoises 	Bears will always have longer life cycles than a whales 	Bears will always have longer life cycles than a elephants 	Bears will always have longer life cycles than a fox	D	 tortoises 	 whales 	 elephants 	 fox
3045	When a cell takes in in oxygen an use cellular respiration it will then expire water 	When a cell takes in in oxygen an use cellular respiration it will then expire smoke 	When a cell takes in in oxygen an use cellular respiration it will then expire CO2 	When a cell takes in in oxygen an use cellular respiration it will then expire sunlight	C	 water 	 smoke 	 CO2 	 sunlight
3046	If you were to miss winter how many seasons would you have to wait till you saw it again 4 	If you were to miss winter how many seasons would you have to wait till you saw it again 36 	If you were to miss winter how many seasons would you have to wait till you saw it again 12 	If you were to miss winter how many seasons would you have to wait till you saw it again 1	A	 4 	 36 	 12 	 1
3047	There are 4 seasons a year, meaning a new one starts every day 	There are 4 seasons a year, meaning a new one starts every quarter 	There are 4 seasons a year, meaning a new one is fake 	There are 4 seasons a year, meaning a new one is seven	B	 starts every day 	 starts every quarter 	 is fake 	 is seven
3048	A person with a pet amphibian will likely feed it deer 	A person with a pet amphibian will likely feed it wax 	A person with a pet amphibian will likely feed it steak 	A person with a pet amphibian will likely feed it meal worms	D	 deer 	 wax 	 steak 	 meal worms
3049	Winter in the Northern Hemisphere are the same as the Southern Hemisphere 	Winter in the Northern Hemisphere led to wet fall days 	Winter in the Northern Hemisphere correlate to cold months int he Southern Hemisphere 	Winter in the Northern Hemisphere correlate to long, sunny days in the Southern Hemisphere	D	 are the same as the Southern Hemisphere 	 led to wet fall days 	 correlate to cold months int he Southern Hemisphere 	 correlate to long, sunny days in the Southern Hemisphere
3050	An active oven will make the mercury in a thermometer go lower 	An active oven will make the mercury in a thermometer go slower 	An active oven will make the mercury in a thermometer go upwards 	An active oven will make the mercury in a thermometer go brighter	C	 lower 	 slower 	 upwards 	 brighter
3051	Organisms exist only because of the energy from the moon 	Organisms exist only because of the energy from coffee 	Organisms exist only because of the energy from our yellow dwarf 	Organisms exist only because of the energy from the kardashians	C	 the moon 	 coffee 	 our yellow dwarf 	 the kardashians
3052	Standing on a plastic tote will vaporize it 	Standing on a plastic tote will deform it 	Standing on a plastic tote will levitate it 	Standing on a plastic tote will melt it	B	 vaporize it 	 deform it 	 levitate it 	 melt it
3053	Pushing a little kid on a swing is easy because they are light. It will require more strength to push when when he loses weight 	Pushing a little kid on a swing is easy because they are light. It will require more strength to push when when he eats chicken 	Pushing a little kid on a swing is easy because they are light. It will require more strength to push when seventy four plus five 	Pushing a little kid on a swing is easy because they are light. It will require more strength to push when he's older and heavier	D	 when he loses weight 	 when he eats chicken 	 seventy four plus five 	 he's older and heavier
3054	Plants and trees suck up carbon dioxide, so if trees are cut down, carbon levels will cry 	Plants and trees suck up carbon dioxide, so if trees are cut down, carbon levels will fly 	Plants and trees suck up carbon dioxide, so if trees are cut down, carbon levels will escalate 	Plants and trees suck up carbon dioxide, so if trees are cut down, carbon levels will go down	C	 cry 	 fly 	 escalate 	 go down
3055	A bunch of lava that is sitting somewhere could create on its own an icy, frozen villa 	A bunch of lava that is sitting somewhere could create on its own a flat raised area 	A bunch of lava that is sitting somewhere could create on its own a new oak tree 	A bunch of lava that is sitting somewhere could create on its own a happy landscape portrait	B	 an icy, frozen villa 	 a flat raised area 	 a new oak tree 	 a happy landscape portrait
3056	A typhoon can potentially cause diminished lakes 	A typhoon can potentially cause overflowing wetness 	A typhoon can potentially cause population floods 	A typhoon can potentially cause rivers drying	B	 diminished lakes 	 overflowing wetness 	 population floods 	 rivers drying
3057	As the pull of gravity decreases air molecules explode 	As the pull of gravity decreases air molecules disperse 	As the pull of gravity decreases air molecules crowd together 	As the pull of gravity decreases air molecules party	B	 explode 	 disperse 	 crowd together 	 party
3058	An example of an offspring receiving a gene is cooking 	An example of an offspring receiving a gene is driving 	An example of an offspring receiving a gene is cartwheels 	An example of an offspring receiving a gene is moles	D	 cooking 	 driving 	 cartwheels 	 moles
3059	Wind is a resource we can renew because there is an seven 	Wind is a resource we can renew because there is an endless supply 	Wind is a resource we can renew because there is an nothing 	Wind is a resource we can renew because there is an limited supply	B	 seven 	 endless supply 	 nothing 	 limited supply
3060	Ethanol sometimes might be concocted 	Ethanol sometimes might be love 	Ethanol sometimes might be magic 	Ethanol sometimes might be affection	A	 concocted 	 love 	 magic 	 affection
3061	Other than sight bloodhounds can find a meal by social media 	Other than sight bloodhounds can find a meal by their phone 	Other than sight bloodhounds can find a meal by the internet 	Other than sight bloodhounds can find a meal by stench	D	 social media 	 their phone 	 the internet 	 stench
3062	As water increases in an environment the number of aquatic animals such as zooplankton, nekton, and benthos will on the up 	As water increases in an environment the number of aquatic animals such as zooplankton, nekton, and benthos will fall 	As water increases in an environment the number of aquatic animals such as zooplankton, nekton, and benthos will stagnate 	As water increases in an environment the number of aquatic animals such as zooplankton, nekton, and benthos will face extinction	A	 on the up 	 fall 	 stagnate 	 face extinction
3063	Butterflies will often times have coloring that at look like eyes on their wings for to look pretty 	Butterflies will often times have coloring that at look like eyes on their wings for fun 	Butterflies will often times have coloring that at look like eyes on their wings for to see flowers 	Butterflies will often times have coloring that at look like eyes on their wings for protection	D	 to look pretty 	 fun 	 to see flowers 	 protection
3064	At the end of their season lumberjacks will seed a new batch of chickens 	At the end of their season lumberjacks will seed a new track of land 	At the end of their season lumberjacks will seed a new popcorn machine 	At the end of their season lumberjacks will seed a new home garden	B	 batch of chickens 	 track of land 	 popcorn machine 	 home garden
